Index,Load_AESO_2032.dat,Load_AVA_2032.dat,Load_AZPS_2032.dat,Load_BANC_2032.dat,Load_BCHA_2032.dat,Load_BPAT_2032.dat,Load_CFE_2032.dat,Load_CHPD_2032.dat,Load_CIPB_2032.dat,Load_CIPV_2032.dat,Load_CISC_2032.dat,Load_CISD_2032.dat,Load_DOPD_2032.dat,Load_EPE_2032.dat,Load_GCPD_2032.dat,Load_IID_2032.dat,Load_IPFE_2032.dat,Load_IPMV_2032.dat,Load_IPTV_2032.dat,Load_LDWP_2032.dat,Load_NEVP_2032.dat,Load_NWMT_2032.dat,Load_PACW_2032.dat,Load_PAID_2032.dat,Load_PAUT_2032.dat,Load_PAWY_2032.dat,Load_PGE_2032.dat,Load_PNM_2032.dat,Load_PSCO_2032.dat,Load_PSEI_2032.dat,Load_SCL_2032.dat,Load_SPPC_2032.dat,Load_SRP_2032.dat,Load_TEPC_2032.dat,Load_TH_Malin_2032.dat,Load_TH_Mead_2032.dat,Load_TH_PV_2032.dat,Load_TIDC_2032.dat,Load_TPWR_2032.dat,Load_VEA_2032.dat,Load_WACM_2032.dat,Load_WALC_2032.dat,Load_WAUW_2032.dat
Year,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032
1,10492.0,1984.87,4271.04,2154.53,9356.0,9443.79,1851.0,403.2,5029.305144055128,6873.719655802801,11892.946032034171,2287.8802959930144,417.84,1099.65,1046.26,344.51,327.4741967862234,781.3860024928433,1631.379800720933,3165.94,2531.930943396226,1772.18,3258.18,841.4216483769276,4632.4798878919655,1187.2184637311068,3529.72,1830.66,7170.4,4468.58,1516.69,1094.8890566037735,4296.92,2318.96,0.0,0.0,0.0,301.96,760.78,80.19887211488359,3639.66,969.5,129.28
2,10369.0,2030.15,4763.15,2229.23,8892.0,9759.16,1775.0,413.66,5302.3795141831315,7246.939536418629,12538.693039551294,2412.104508456054,422.96,1182.47,1071.1,384.02,337.3250485514295,804.8911145215288,1680.4538369270415,3485.13,2726.306603773585,1810.74,3299.53,860.4982447057557,4737.506837214219,1214.134918080026,3677.01,1953.89,7351.84,4598.79,1548.85,1178.943396226415,4756.65,2454.46,0.0,0.0,0.0,319.28,776.89,84.5534013908881,3674.31,979.25,129.39
3,10301.0,2108.17,4930.62,2277.48,8639.0,9987.21,1735.0,412.79,5556.62574268703,7594.426365756622,13139.916585913217,2527.763614408729,422.46,1265.7,1091.69,396.29,343.4234225121049,819.4424413057556,1710.8341361821392,3579.07,2794.498301886792,1829.3,3352.45,867.2423810982608,4774.636944645784,1223.6506742559548,3757.65,2054.46,7537.88,4657.96,1581.35,1208.4316981132074,4902.18,2458.28,0.0,0.0,0.0,325.46,782.82,88.60769123440213,3707.8,977.79,129.34
4,10355.0,2228.35,5019.35,2330.7,8561.0,10086.72,1699.0,403.59,5809.534106303701,7940.084690379006,13737.976443764263,2642.814112486854,417.08,1281.84,1082.29,409.1,346.5078636628991,826.8022246547837,1726.1999116823172,3694.82,2865.6220754716983,1828.11,3388.39,872.3671163191625,4802.851375409947,1230.8815082708911,3728.56,2049.69,7316.06,4682.72,1598.04,1239.187924528302,5002.36,2449.51,0.0,0.0,0.0,330.84,787.96,92.6406470661741,3670.34,978.34,129.27
5,10426.0,2187.96,5031.83,2342.36,8604.0,9888.44,1689.0,401.46,5988.856056683615,8185.170001319089,14162.024342458248,2724.3894285915444,407.62,1259.49,1064.44,411.71,342.133956413032,816.3656469494591,1704.4103966375085,3808.99,2923.090754716981,1797.25,3363.47,877.196266614826,4829.438451774598,1237.6952816105756,3641.44,1984.03,7012.04,4600.63,1602.92,1264.0392452830188,4805.6,2405.36,0.0,0.0,0.0,334.76,776.0,95.50017094750186,3600.79,992.25,127.56
6,10573.0,2102.2,4742.43,2251.59,8769.0,9485.99,1707.0,390.96,5823.524021029607,7959.2051750344535,13771.05880724436,2649.178262071585,396.82,1218.24,1049.73,391.68,326.68067918679395,779.4925905812762,1627.4267302319295,3812.47,2882.481509433962,1736.77,3246.58,851.4462721661992,4687.670847355705,1201.3628804780953,3531.47,1898.38,6708.57,4416.86,1533.14,1246.4784905660376,4571.16,2292.33,0.0,0.0,0.0,327.47,742.01,92.86373461999399,3535.78,996.39,126.22
7,10873.0,2024.1,4476.26,2142.65,9236.0,9057.54,1761.0,374.95,5553.62900222843,7590.33062028014,13132.830105470035,2526.400367747202,387.12,1170.31,1031.9,355.5,308.50984319383525,736.1351687207689,1536.9049880853959,3653.61,2772.4379245283017,1675.51,3107.37,819.0645646513331,4509.3920865375385,1155.673348811128,3372.15,1811.88,6407.14,4204.86,1448.0,1198.892075471698,4350.36,2175.62,0.0,0.0,0.0,318.02,707.17,88.55990427419256,3472.0,994.79,124.65
8,11282.0,1957.14,4216.22,2025.04,10003.0,8596.36,1791.0,357.15,5248.8341631794465,7173.757313203171,12412.072770644781,2387.7462024884453,381.88,1123.24,1030.07,332.08,293.31111302885995,699.8694869567482,1461.1894000143916,3486.3,2672.9149056603774,1618.97,2990.29,792.1309673183126,4361.108110014623,1117.6709226670644,3202.62,1720.84,6118.17,3929.0,1357.81,1155.8550943396226,4135.08,2081.1,0.0,0.0,0.0,307.96,669.33,83.69955048415456,3411.98,992.36,122.89
9,11553.0,1891.04,3931.17,1883.61,10873.0,8244.33,1870.0,346.89,4954.204021721914,6771.076438505702,11715.352195655027,2253.716057977704,377.7,1078.54,1012.47,321.14,279.65878613747157,667.2936772011129,1393.1775366614156,3315.18,2578.8511320754715,1572.37,2892.45,761.7059309538474,4193.601878960737,1074.7421900854151,3024.38,1652.32,5847.5,3725.37,1289.49,1115.1788679245283,3944.05,1998.95,0.0,0.0,0.0,292.23,641.61,79.00128613965097,3370.54,985.3,121.09
